Tweet,Geo,Location
"Mamata has given Nandigram to Suvendu Adhikari on a golden platter

By deciding to engage in such antics, #MamataBanerjee has simply handed over an imminent victory to #SuvenduAdhikari.

https://t.co/ClKjLTbrPV",,"New Delhi, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,Dubai/Washington/Gujarat
RT @PuneSuperGiant: @RahulSinhaBJP @DilipGhoshBJP @SuPriyoBabul @Amitava_BJP @SuvenduWB @RajibBanerjeeWB It’s wrong on part of @BJP4India t…,,
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,"Abu Dhabi, United Arab Emirate"
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,"Abu Dhabi, United Arab Emirate"
RT @arupbdn: @RahulSinhaBJP @DilipGhoshBJP @SuPriyoBabul @Amitava_BJP @SuvenduWB @RajibBanerjeeWB Release candidate list urgently . Very Im…,,
RT @PradipS40845951: @RahulSinhaBJP @DilipGhoshBJP @SuPriyoBabul @Amitava_BJP @SuvenduWB @RajibBanerjeeWB Best of luck. We have to escslate…,,
@DilipGhoshBJP Joy BJP. Joy Dilip babu,,
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,"Kerala, India"
RT @SikdarSampriti: Parliamentary board Meeting of BJP held today in Delhi...stay tuned @Zee24Ghanta @BJP4Delhi @BJP4Bengal @JyotirmoyKarmo…,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
"Can @BJP4Bengal project you as Female Candidate for CM of Bengal,,it will be Master Stroke @JPNadda against althe present Female CM",,India
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,India
"@TimesNow @DilipGhoshBJP See the language of Sanghoo @DilipGhoshBJP 

This man is facing trial in Fake Education Degree case in Kolkata High Court.
https://t.co/fZub7yLiXl",,
RT @RajibBanerjeeWB: Leaving for Delhi for an urgent election meeting. @DilipGhoshBJP  @SuvenduWB https://t.co/6Q3AvuC6cB,,
"WE HAVE BEEN COMPELLED TO SEE HER TAMASHA/NAUTANKI FOR 10 YEARS OF HER IN POWER &amp;  25 YEARS AS OPPOSITION LEADER.
PRESS THE RIGHT EVM BUTTON NOW OR NEVER.
@ShipraDUTTA16
#JaiHind",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Lucknow, Uttar Pradesh"
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,
RT @DrRijuDutta_TMC: Former Union Minister @YashwantSinha joins the @AITCofficial family to fight with @MamataOfficial against the draconia…,,
"RT @VijayaRahatkar: This video has no whatsoever relationship with ""attack"" on Hitler Didi..😁😀😂
#FakeItLikePishi 
(What's App forward)
@Kai…",,
