Tweet,Geo,Location
RT @Kalamian_muse: @meerajit @INCIndia @INCAssam @INCWestBengal @MahuaMoitra @BJP4India CAA/NRC can never happen in a heterogeneous society…,,
@renjunscart 1K + isf and lsf,,Makati
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,Coonoor 
"Had a public meeting for our Bishnupur Assembly candidate Debu Chatterjee at District Bankura. INC alliance is fighting election with full strength and will emerge victorious. @JitinPrasada

@INCWestBengal @INCIndia @RahulGandhi @priyankagandhi https://t.co/jRlaRqvr4d",,"Sultanpur, New Delhi, JNU"
@perfect360_mr 😂😂😂Maybe... He is overestimating ISF too... Except Canning Purba and Bhangore I don't see ISF's winning anywhere... Forget winning i doubt whether they will get 15%+ on any other seat... But he is giving them 15%+ in literally every seat,,INDIA
"RT @meerajit: @INCIndia @INCAssam @INCWestBengal
@MahuaMoitra

Please use this opinion of judicial luminary to blast the @BJP4India 
in the…",,
"RT @naijilnj: CPM-BJP, Together Forever!
.",,India
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,
"RT @CPIM_WESTBENGAL: Reach one each one!
Glimpses of the door to door campaign at Shalboni AC in  support of the #SanjuktaMorcha supported…",,boo!!!! heehee
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,"Trivandrum, India"
"RT @CPIM_WESTBENGAL: Reach one each one!
Glimpses of the door to door campaign at Shalboni AC in  support of the #SanjuktaMorcha supported…",,"Bhagalpur, India"
Anyone wanted to join the auction for this? You'll pay the isf +lsf,,MEWGULF
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,
@Rupamkumarsaha1 @ICICIBank_Care @NaMo4PM @CNBC_Awaaz @republic @Harvard @IIM_Calcutta @IITKgp @RahulGandhi @mamtamohan @CPIM_WESTBENGAL @BJP4India @jagograhakjago @rashtrapatibhvn @aajtak @wiprosoft @SandeepMaheshw @Cambridge_Uni @WTM_London @HDFC_Bank @AxisBank @IDFCFIRSTBank @ICICIBank @RBI @WorldBank @PMOIndia @ICICI_Direct @ICICIPruLife @ICICIPruMF @ICICILombard @ICICIFoundation @ICICIElemEduc @UNinIndia @consumerforum_ @SupremeCourtFan @emi @latecharges @interests @Shailaja @CNNgo @BBCHindi @FinancialXpress @nsitharaman @FinMinIndia @BBCWorld @UNOCHA @ConsumrConxion @sudhirchaudhary @ArnabGoswamiRTv @ICICIBank_Care 397th reminder for last 6 years consolidated statements,,"Kolkata, India"
RT @Just4MG: Anyone wanted to join the auction for this? You'll pay the isf +lsf,,"Manila, Philippines"
"RT @belleamepopup: WTS | LFB | HELP RT [#AnotherGOdolniKai]

BE DELUXE LUCKY DRAW M2U OR SW 

2500php + isf + lsf 
~~ open for pooling (bas…",,!she/her✿
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,God's Own Country 
@choilliecheol exclu lsf and isf,,"laguna, ph — she/her"
"@yadavakhilesh Sir, I request you not to support the brahmins. You know that TMC BJP CPIM INC all the brahminical parties. We are trying our best to uproot brahminism in West Bengal.",,"Kolkata, India"
"RT @_DAINTYPH: #DaintyPH_Go

PH GO

ASTRO 2nd Full Album All Yours

~non profit go~
✨: with lot of freebies

💸 base price + isf (50 php eac…",,ph // fan acc
RT @Just4MG: Anyone wanted to join the auction for this? You'll pay the isf +lsf,,
"RT @CPIM_WESTBENGAL: Reach one each one!
Glimpses of the door to door campaign at Shalboni AC in  support of the #SanjuktaMorcha supported…",,
RT @Just4MG: Anyone wanted to join the auction for this? You'll pay the isf +lsf,,
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,
"we still have 2 sets available for waves ft #WONWOO!!! order now~

#1plus1CF_preorders",,dm for inquiries!
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,alappuzha kerala india
"RT @meerajit: @INCIndia @INCAssam @INCWestBengal
@MahuaMoitra

Please use this opinion of judicial luminary to blast the @BJP4India 
in the…",,Patna-Siliguri-Mumbai (Indian)
"Fill in the blank!! @BJP4Bengal @AITCofficial @CPIM_WESTBENGAL

#BengalElections2021 #BanglaNijerMeyekeiChay #Bengal
#BengalRejectsGujaratiManifesto
#Assemblyelections2021
#DidirUnnayanerKhelaHobe https://t.co/6ZJHo5ZyI1",,"Kolkata, India"
"@AITCofficial @BJPBengal @CPIM_WESTBENGAL @INCWestBengal Citizens are demanding concrete action to tackle the pressing issue of #airpollution ,creating state policies and committing to reduce air pollution by 30% by 2024.
https://t.co/VSAtqbwcs7
@ChangeOrg_India @ChangeOrg_Hindi https://t.co/MUH9X9sBdD",,
"RT @MinotiBhattach1: Mark these three  smiling faces of CPIM Youth wing : Oishi Ghosh, Dipsita Dhar &amp; Minakshi Mukherjee.
#Jotevote 
#Vote4…",,
"RT @desibhakthoon: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,BharatBhumi 
